number,polling_station_code,polling_station_name,constituency,district,region,source
1,A010101,METH JSS WORKSHOP BLK HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
2,A010102,METH NURSERY BLK HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
3,A010103,PEACE INTERNATIONAL PRIM SCH COMBODIA HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
4,A010104,METH JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
5,A010105,OPPOSITE GCB HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
6,A010106,METH PRIM A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
7,A010107,NREDA/SHIDO SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
8,A010108,METH PRIM BLK B HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
9,A010109,E. EKPALE'S SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
10,A010110,WHAJAH'S SQUARE.HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
11,A010111,ARVO'S SQUARE HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
12,A010112,P.TOBENLE'S SQUARE. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
13,A010201A,R/C JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
14,A010201B,R/C JSS BLK A HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
15,A010202,NANA AYEBIE AMIHERE PRIM SCH HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
16,A010203,CHRIST THE KING PREP. HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
17,A010204,SDA CHURCH HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
18,A010301,NZEMA MAANLE PREP SCH. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
19,A010302,NZEMA MAANLE PREP SCH. HALF-ASSINI. 2,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
20,A010303,NZEMA MAANLE N'SERY BLK B HALF-ASSINI,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
21,A010304,PUBLIC SQUARE ASUKOLO,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
22,A010305A,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
23,A010305B,OLD JOMORO DIST. ASSEMBLY HALL. HALF-ASSINI. 1,JOMORO,JOMORO,WESTERN,Ghana Electoral Commission 2024 Polling Stations
