region_number,region,constituency_number_in_region,constituency
1,AHAFO,1,ASUNAFO NORTH
1,AHAFO,2,ASUNAFO SOUTH
1,AHAFO,3,ASUTIFI NORTH
1,AHAFO,4,ASUTIFI SOUTH
1,AHAFO,5,TANO NORTH
1,AHAFO,6,TANO SOUTH
2,ASHANTI,1,ADANSI ASOKWA
2,ASHANTI,2,AFIGYA KWABRE NORTH
2,ASHANTI,3,AFIGYA KWABRE SOUTH
2,ASHANTI,4,AFIGYA SEYERE EAST
2,ASHANTI,5,AHAFO ANO NORTH
2,ASHANTI,6,AHAFO ANO SOUTH WEST
2,ASHANTI,7,AHAFO ANO SOUTH-EAST
2,ASHANTI,8,AKROFUOM
2,ASHANTI,9,ASANTE AKIM CENTRAL
2,ASHANTI,10,ASANTE AKIM NORTH
2,ASHANTI,11,ASANTE AKIM SOUTH
2,ASHANTI,12,ASAWASE
2,ASHANTI,13,ASOKWA
2,ASHANTI,14,ATWIMA KWANWOMA
2,ASHANTI,15,ATWIMA MPONUA
2,ASHANTI,16,ATWIMA NWABIAGYA NORTH
2,ASHANTI,17,ATWIMA NWABIAGYA SOUTH
2,ASHANTI,18,BANTAMA
2,ASHANTI,19,BEKWAI
2,ASHANTI,20,BOSOME FREHO
2,ASHANTI,21,BOSOMTWE
2,ASHANTI,22,EFFIDUASE/ASOKORE
2,ASHANTI,23,EJISU
2,ASHANTI,24,EJURA SEKYEDUMASE
2,ASHANTI,25,FOMENA
2,ASHANTI,26,JUABEN
2,ASHANTI,27,KUMAWU
2,ASHANTI,28,KWABRE EAST
2,ASHANTI,29,KWADASO MUNICIPAL
2,ASHANTI,30,MAMPONG
2,ASHANTI,31,MANHYIA NORTH
2,ASHANTI,32,MANHYIA SOUTH
2,ASHANTI,33,MANSO ADUBIA
2,ASHANTI,34,MANSO NKWANTA
2,ASHANTI,35,NEW EDUBIASE
2,ASHANTI,36,NHYIAESO
2,ASHANTI,37,NSUTA/KWAMANG/BEPOSO
2,ASHANTI,38,OBUASI EAST
2,ASHANTI,39,OBUASI WEST
2,ASHANTI,40,ODOTOBRI
2,ASHANTI,41,OFFINSO NORTH
2,ASHANTI,42,OFFINSO SOUTH
2,ASHANTI,43,OFORIKROM
2,ASHANTI,44,OLD TAFO
2,ASHANTI,45,SEKYERE AFRAM PLAINS
2,ASHANTI,46,SUAME
2,ASHANTI,47,SUBIN
3,BONO,1,BANDA
3,BONO,2,BEREKUM EAST
3,BONO,3,BEREKUM WEST
3,BONO,4,DORMAA CENTRAL
3,BONO,5,DORMAA EAST
3,BONO,6,DORMAA WEST
3,BONO,7,JAMAN NORTH
3,BONO,8,JAMAN SOUTH
3,BONO,9,SUNYANI EAST
3,BONO,10,SUNYANI WEST
3,BONO,11,TAIN
3,BONO,12,WENCHI
4,BONO EAST,1,ATEBUBU/AMANTIN
4,BONO EAST,2,KINTAMPO NORTH
4,BONO EAST,3,KINTAMPO SOUTH
4,BONO EAST,4,NKORANZA NORTH
4,BONO EAST,5,NKORANZA SOUTH
4,BONO EAST,6,PRU EAST
4,BONO EAST,7,PRU WEST
4,BONO EAST,8,SENE EAST
4,BONO EAST,9,SENE WEST
4,BONO EAST,10,TECHIMAN NORTH
4,BONO EAST,11,TECHIMAN SOUTH
5,CENTRAL,1,ABURA ASEBU KWAMANKESE
5,CENTRAL,2,AGONA EAST
5,CENTRAL,3,AGONA WEST
5,CENTRAL,4,AJUMAKO ENYAN ESIAM
5,CENTRAL,5,ASIKUMA/ODOBEN/BRAKWA
5,CENTRAL,6,ASSIN CENTRAL
5,CENTRAL,7,ASSIN NORTH
5,CENTRAL,8,ASSIN SOUTH
5,CENTRAL,9,AWUTU SENYA EAST
5,CENTRAL,10,AWUTU SENYA WEST
5,CENTRAL,11,CAPE COAST NORTH
5,CENTRAL,12,CAPE COAST SOUTH
5,CENTRAL,13,EFFUTU
5,CENTRAL,14,EKUMFI
5,CENTRAL,15,GOMOA CENTRAL
5,CENTRAL,16,GOMOA EAST
5,CENTRAL,17,GOMOA WEST
5,CENTRAL,18,HEMANG LOWER DENKYIRA
5,CENTRAL,19,KOMENDA EDINA EGUAFO ABREM
5,CENTRAL,20,MFANTSEMAN
5,CENTRAL,21,TWIFO ATTI MORKWA
5,CENTRAL,22,UPPER DENKYIRA EAST
5,CENTRAL,23,UPPER DENKYIRA WEST
6,EASTERN,1,ABIREM
6,EASTERN,2,ABUAKWA NORTH
6,EASTERN,3,ABUAKWA SOUTH
6,EASTERN,4,ACHIASE
6,EASTERN,5,AFRAM PLAINS SOUTH
6,EASTERN,6,AKIM ODA
6,EASTERN,7,AKIM SWEDRU
6,EASTERN,8,AKROPONG
6,EASTERN,9,AKUAPEM SOUTH
6,EASTERN,10,AKWATIA
6,EASTERN,11,ASENE/AKROSO/MANSO
6,EASTERN,12,ASUOGYAMAN
6,EASTERN,13,ATIWA EAST
6,EASTERN,14,ATIWA WEST
6,EASTERN,15,AYENSUANO
6,EASTERN,16,FANTEAKWA NORTH
6,EASTERN,17,FANTEAKWA SOUTH
6,EASTERN,18,KADE
6,EASTERN,19,KWAHU AFRAM PLAINS NORTH
6,EASTERN,20,KWAHU EAST
6,EASTERN,21,LOWER MANYA KROBO
6,EASTERN,22,LOWER WEST AKIM
6,EASTERN,23,MPRAESO
6,EASTERN,24,NEW JUABEN NORTH
6,EASTERN,25,NEW JUABEN SOUTH
6,EASTERN,26,NKAWKAW
6,EASTERN,27,NSAWAM/ADOAGYIRI
6,EASTERN,28,OFOASE/AYIREBI
6,EASTERN,29,OKERE
6,EASTERN,30,SUHUM
6,EASTERN,31,UPPER MANYA KROBO
6,EASTERN,32,UPPER WEST AKIM
6,EASTERN,33,YILO KROBO
7,GREATER ACCRA,1,ABLEKUMA CENTRAL
7,GREATER ACCRA,2,ABLEKUMA NORTH
7,GREATER ACCRA,3,ABLEKUMA SOUTH
7,GREATER ACCRA,4,ABLEKUMA WEST
7,GREATER ACCRA,5,ADA
7,GREATER ACCRA,6,ADENTAN
7,GREATER ACCRA,7,AMASAMAN
7,GREATER ACCRA,8,ANYAA/SOWUTUOM
7,GREATER ACCRA,9,ASHAIMAN
7,GREATER ACCRA,10,AYAWASO CENTRAL
7,GREATER ACCRA,11,AYAWASO EAST
7,GREATER ACCRA,12,AYAWASO NORTH
7,GREATER ACCRA,13,AYAWASO WEST WUOGON
7,GREATER ACCRA,14,BORTIANOR-NGLESHIE AMANFRO
7,GREATER ACCRA,15,DADEKOTOPON
7,GREATER ACCRA,16,DOME/KWABENYA
7,GREATER ACCRA,17,DOMEABRA-OBOM
7,GREATER ACCRA,18,KORLE KLOTTEY
7,GREATER ACCRA,19,KPONE-KATAMANSO
7,GREATER ACCRA,20,KROWOR
7,GREATER ACCRA,21,LEDZOKUKU
7,GREATER ACCRA,22,MADINA
7,GREATER ACCRA,23,NINGO PRAMPRAM
7,GREATER ACCRA,24,ODODODIODIOO
7,GREATER ACCRA,25,OKAIKWEI CENTRAL
7,GREATER ACCRA,26,OKAIKWEI NORTH
7,GREATER ACCRA,27,OKAIKWEI SOUTH
7,GREATER ACCRA,28,SEGE
7,GREATER ACCRA,29,SHAI-OSUDOKU
7,GREATER ACCRA,30,TEMA CENTRAL
7,GREATER ACCRA,31,TEMA EAST
7,GREATER ACCRA,32,TEMA WEST
7,GREATER ACCRA,33,TROBU
7,GREATER ACCRA,34,WEIJA-GBAWE
8,NORTH EAST,1,BUNKPURUGU
8,NORTH EAST,2,CHEREPONI
8,NORTH EAST,3,NALERIGU / GAMBAGA
8,NORTH EAST,4,WALEWALE
8,NORTH EAST,5,YAGABA/ KUBORI
8,NORTH EAST,6,YUNYOO
9,NORTHERN,1,BIMBILLA
9,NORTHERN,2,GUSHEGU
9,NORTHERN,3,KARAGA
9,NORTHERN,4,KPANDAI
9,NORTHERN,5,KUMBUNGU
9,NORTHERN,6,MION
9,NORTHERN,7,NANTON
9,NORTHERN,8,SABOBA
9,NORTHERN,9,SAGNARIGU
9,NORTHERN,10,SAVELUGU
9,NORTHERN,11,TAMALE CENTRAL
9,NORTHERN,12,TAMALE NORTH
9,NORTHERN,13,TAMALE SOUTH
9,NORTHERN,14,TATALE/SANGULI
9,NORTHERN,15,TOLON
9,NORTHERN,16,WULESNSI
9,NORTHERN,17,YENDI
9,NORTHERN,18,ZABZUGU
10,OTI,1,AKAN
10,OTI,2,BIAKOYE
10,OTI,3,BUEM
10,OTI,4,GUAN
10,OTI,5,KRACHI EAST
10,OTI,6,KRACHI NCHUMURU
10,OTI,7,KRACHI WEST
10,OTI,8,NKWANTA NORTH
10,OTI,9,NKWANTA SOUTH
11,SAVANNAH,1,BOLE-BAMBOI
11,SAVANNAH,2,DABOYA / MANKARIGU
11,SAVANNAH,3,DAMONGO
